title,url,image_url,price,rating,reviews,brand,badges,asin,is_sponsored,scrape_date
Amazon's Choice: Overall Pick,https://www.amazon.com/Melissa-Doug-Developmental-Squeaker-Shatterproof/dp/B00MYWGTGQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-2,https://m.media-amazon.com/images/I/81W2BaokkqL._AC_UL320_.jpg,19.97,4.8,0,Amazon's,Unknown,B00MYWGTGQ,True,2025-04-08
"Care Bears Hello Kitty Dressed As Cheer Bear 8"" Fun-Size Plush - Soft, Huggable Bestie! – Good for Girls and Boys, Employees, Collectors, Ages 4+",https://www.amazon.com/Care-Bears-Hello-Dressed-Fun-Size/dp/B0CB92B1VK/ref=sr_1_3?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-3,https://m.media-amazon.com/images/I/71BPnewH-nL._AC_UL320_.jpg,9.97,4.8,3805,Care,Unknown,B0CB92B1VK,True,2025-04-08
Melissa & Doug Burrow Bunny Rabbit Stuffed Animal (9 inches),https://www.amazon.com/Melissa-Doug-Stuffed-Washable-Surface/dp/B004N7NFSK/ref=sr_1_4?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-4,https://m.media-amazon.com/images/I/81vLnk3ZB3L._AC_UL320_.jpg,12.97,4.7,18949,Melissa,Best Seller,B004N7NFSK,True,2025-04-08
"Pokémon Official & Premium Quality 8-Inch Pikachu - Adorable, Ultra-Soft, Plush Toy, Perfect for Playing & Displaying - Gotta Catch ˜Em All, Yellow",https://www.amazon.com/Pok%C3%A9mon-Official-Premium-Quality-Plush/dp/B07RBBCZZ1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-5,https://m.media-amazon.com/images/I/61Lq4KlU66L._AC_UL320_.jpg,14.99,4.8,10829,Pokémon,Unknown,B07RBBCZZ1,True,2025-04-08
"Disney Baby Lilo & Stitch Soft Huggable Stuffed Animal Cute Plush Toy for Toddler Boys and Girls, Gift for Kids, Blue Stitch 15 Inches",https://www.amazon.com/KIDS-PREFERRED-Disney-Stitch-Stuffed/dp/B08XC6CLSJ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-6,https://m.media-amazon.com/images/I/81cvMWnXgGL._AC_UL320_.jpg,17.65,4.8,5198,Disney,Unknown,B08XC6CLSJ,True,2025-04-08
"Bedtime Originals Twinkle Toes Pink Elephant Plush, Hazel, 1 Count (Pack of 1)",https://www.amazon.com/Bedtime-Originals-Twinkle-Elephant-Plush/dp/B0771V1JZX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-7,https://m.media-amazon.com/images/I/71cbywcYiUL._AC_UL320_.jpg,9.59,4.9,1,Bedtime,Unknown,B0771V1JZX,True,2025-04-08
Melissa & Doug K's Kids Match and Build Soft Blocks Set,https://www.amazon.com/Melissa-Doug-Match-Build-Blocks/dp/B00F1UPFF4/ref=sr_1_8?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-8,https://m.media-amazon.com/images/I/71-wp6V4h4L._AC_UL320_.jpg,21.59,4.7,2783,Melissa,Unknown,B00F1UPFF4,True,2025-04-08
"Official Stitch Medium Soft Toy for Kids, Cuddly Character with Fuzzy Texture and Embroidered Details, Flexible Floppy Ears, Disney Plushy Suitable for All Ages.",https://www.amazon.com/Disney-Stitch-Medium-Texture-Suitable/dp/B0B83KLG63/ref=sr_1_9?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-9,https://m.media-amazon.com/images/I/614WXjiTGAL._AC_UL320_.jpg,0.0,4.9,5406,Official,Unknown,B0B83KLG63,True,2025-04-08
"Melissa & Doug K's Kids Pull-Back Vehicle Set - Soft Baby Toy Set With 4 Cars and Trucks, Soft Vehicles Toys For Babies And Toddlers",https://www.amazon.com/Melissa-Doug-Pull-Back-Vehicles-Carrying/dp/B00EX5K1GG/ref=sr_1_10?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-10,https://m.media-amazon.com/images/I/71E48r40XQL._AC_UL320_.jpg,19.79,4.8,11557,Melissa,Unknown,B00EX5K1GG,True,2025-04-08
"Baby GUND Play Soft Collection, My First Purse 5-Piece Plush Playset with Rattle, Mirror and Crinkle Plush Toys, Sensory Toy for Babies and Newborns, 8”",https://www.amazon.com/GUND-Stuffed-Playset-Sensory-Discovery/dp/B00S0WZBCM/ref=sr_1_11?dib=eyJ2IjoiMSJ9.kwPE26zA-s1KpNS1ikjKOBZNyc354F0HDeq9pqeKM_GqRpBJJisATqVjh-YtV7PT2u2Gj0tbGexIxlDHNRS0QCyGMY_-VD6XHbOzfee5aaHEDnm1rwRA-b7JhIZJdQI5t9snSx2ri-xDcm4jG6JtDYmMTTQZtyVYzT4t3Lm7F_DS7AW1Qr8j2Ue-qxAfNLdE8AtECn9Ms8vSoQ13h4HJZjKk4hMJy2nnUdBfbCJ590j6dQCgcOvWBXAsLSTXNv77pgzpUGdl3zXgo33NughRlR4Flu-uR8R_A-E7AT1FiZE.FRLTndxmiWisavMhwEdOpNteDeWi1Ao6sgeb1C7z2oA&dib_tag=se&keywords=soft+toys&qid=1744118791&sr=8-11,https://m.media-amazon.com/images/I/813d9TXQNJL._AC_UL320_.jpg,25.0,4.6,17834,Baby,Unknown,B00S0WZBCM,True,2025-04-08
